Reference area,TIME_PERIOD,OBS_VALUE
Costa Rica,1997,52.375
Costa Rica,1996,51.999
Costa Rica,1995,48.183
Costa Rica,1994,49.8
Costa Rica,2003,49.149
Costa Rica,2002,53.659
Costa Rica,1990,47.944
Costa Rica,1989,36.399
Italy,2001,1533.5
Italy,2000,1498.1
Italy,1999,1457.2
Italy,2023,2072.5
Italy,2022,2028.9
Italy,2021,2018.9
Italy,2020,2005.9
Italy,2019,1982.2
Italy,2018,1977.4
Italy,2017,1942.7
Italy,2016,1920.6
Italy,2015,1886.9
Italy,2014,1854
Italy,2013,1816.6
Italy,2012,1797.2
Italy,1996,1365.3
Italy,1995,1340.4
Italy,2009,1723.5
Italy,2008,1707.5
Italy,2007,1660.5
Italy,2006,1651.5
Italy,2005,1641.2
Italy,2004,1616.8
Italy,2003,1587.4
Italy,2002,1558.5
Italy,2011,1776.7
Italy,2010,1740
Italy,1998,1434
Italy,1997,1391.4
New Zealand,2014,250.7
New Zealand,2013,242.7
New Zealand,2022,294.6
New Zealand,2021,296.7
New Zealand,2020,293.6
New Zealand,2019,284.4
New Zealand,2018,277.6
New Zealand,2017,261.2
New Zealand,2016,253.9
New Zealand,2015,255.6
Bulgaria,2001,146230
Bulgaria,2000,148407
Bulgaria,1999,148950
Bulgaria,2021,185813
Bulgaria,2020,176529
Bulgaria,2019,169853
Bulgaria,2018,165276
Bulgaria,2017,162251
Bulgaria,2016,160886
Bulgaria,2015,158638
Bulgaria,2014,159682
Bulgaria,2013,157228
Bulgaria,2012,154196
Bulgaria,1996,165611
Bulgaria,1995,159800
Bulgaria,2009,153037
Bulgaria,2008,148376
Bulgaria,2007,157951
Bulgaria,2006,156613
Bulgaria,2005,152883
Bulgaria,2004,153537
Bulgaria,2003,150513
Bulgaria,2002,147686
Bulgaria,2011,153105
Bulgaria,2010,149757
Bulgaria,1998,150471
Bulgaria,1997,162470
Japan,2000,4515
Japan,1999,4246
Japan,1998,4097
Japan,2022,9183
Japan,2021,9008
Japan,2020,8805
Japan,2019,8641
Japan,2018,8515
Japan,2017,8321
Japan,2016,8264
Japan,2015,8030
Japan,2014,7738
Japan,2013,7510
Japan,2012,7313
Japan,2011,7020
Japan,1995,3637
Japan,1994,3503
Japan,2008,6223
Japan,2007,6018
Japan,2006,5901
Japan,2005,5708
Japan,2004,5406
Japan,2003,5176
Japan,2002,4959
Japan,2001,4769
Japan,2010,6799
Japan,2009,6460
Japan,1997,3929
Japan,1996,3770
Romania,2001,243.4
Romania,2000,243.1
Romania,1999,239.9
Romania,2023,406.8
Romania,2022,430.4
Romania,2021,420.3
Romania,2020,410.8
Romania,2019,414.5
Romania,2018,401.3
Romania,2017,399.4
Romania,2016,379.9
Romania,2015,377.9
Romania,2014,359.1
Romania,2013,345.2
Romania,2012,346.7
Romania,1996,254.7
Romania,1995,255.8
Romania,2009,366.7
Romania,2008,359.3
Romania,2007,348.2
Romania,2006,352.9
Romania,2005,321.6
Romania,2004,328
Romania,2003,263.1
Romania,2002,278.4
Romania,2011,363
Romania,2010,364.3
Romania,1998,237.2
Romania,1997,257.1
Estonia,2001,30.71
Estonia,2000,30.05
Estonia,1999,30.59
Estonia,2022,45.89
Estonia,2021,41.38
Estonia,2020,39.99
Estonia,2019,39.97
Estonia,2018,39.99
Estonia,2017,38.92
Estonia,2016,38.4
Estonia,2015,38.59
Estonia,2014,37.65
Estonia,2013,36.04
Estonia,2012,34.82
Estonia,1996,34.39
Estonia,1995,34.01
Estonia,2009,32.49
Estonia,2008,32.99
Estonia,2007,34.13
Estonia,2006,35.58
Estonia,2005,36.74
Estonia,2004,37.13
Estonia,2003,36.14
Estonia,2002,33.59
Estonia,2011,34.12
Estonia,2010,33.8
Estonia,1998,32.69
Estonia,1997,33.97
Colombia,2016,860.996
Colombia,2015,840.22
Colombia,2022,966.28
Colombia,2021,936.745
Colombia,2020,777.17
Colombia,2019,898.35
Colombia,2018,883.53
Colombia,2017,886.944
Poland,2001,793.6
Poland,2000,887.5
Poland,1999,870.8
Poland,2022,1128.6
Poland,2021,1097.6
Poland,2020,1003.4
Poland,2019,982.6
Poland,2018,980.6
Poland,2017,978.4
Poland,2016,964.8
Poland,2015,943.8
Poland,2014,933.6
Poland,2013,938
Poland,2012,903.8
Poland,1996,957.3
Poland,1995,974.4
Poland,2009,878.5
Poland,2008,853.8
Poland,2007,835.2
Poland,2006,839.5
Poland,2005,795.2
Poland,2004,796.2
Poland,2003,827.3
Poland,2002,807.3
Poland,2011,888.5
Poland,2010,900.1
Poland,1998,912.5
Poland,1997,934.4
United Kingdom,2001,2855.006
United Kingdom,2000,2783.571
United Kingdom,1999,2711.706
United Kingdom,2022,4162.472
United Kingdom,2021,4192.273
United Kingdom,2020,4120.882
United Kingdom,2019,4027.383
United Kingdom,2018,3977.971
United Kingdom,2017,3947.248
United Kingdom,2016,3883.864
United Kingdom,2015,3865.905
United Kingdom,2014,3837.573
United Kingdom,2013,3808.577
United Kingdom,2012,3710.845
United Kingdom,1996,2683.669
United Kingdom,1995,2659.648
United Kingdom,2009,3485.992
United Kingdom,2008,3383.405
United Kingdom,2007,3302.988
United Kingdom,2006,3305.633
United Kingdom,2005,3218.932
United Kingdom,2004,3128.067
United Kingdom,2003,3004.8
United Kingdom,2002,2935.512
United Kingdom,2011,3689.675
United Kingdom,2010,3642.404
United Kingdom,1998,2678.246
United Kingdom,1997,2702.066
France,1970,1636
France,1969,1587
France,1968,1543
France,1967,1518
France,1966,1495
France,1965,1460
France,2022,4057
France,2021,4039
France,2020,3955
France,2019,3933
France,2018,3915
France,2017,3910
France,2016,3890
France,2015,3869
France,2014,3835
France,2013,3777
France,2012,3731
France,2011,3691
France,2010,3624
France,2009,3565
France,2008,3482
France,2007,3436
France,2006,3353
France,2005,3269
France,2004,3182
France,2003,3109
France,2002,3078
France,2001,3052
France,2000,3058
France,1999,3025
France,1998,2979
France,1997,2920
France,1996,2851
France,1995,2767
France,1994,2709
France,1993,2623
France,1992,2538
France,1991,2495
France,1956,1255
France,1955,1226
France,1954,1206
France,1988,2352
France,1987,2320
France,1986,2261
France,1985,2222
France,1984,2173
France,1983,2118
France,1982,2078
France,1981,2025
France,1980,1973
France,1979,1936
France,1978,1879
France,1977,1862
France,1976,1825
France,1975,1787
France,1974,1756
France,1973,1724
France,1972,1693
France,1971,1664
